sucklingID,date,time,latitude,longitude,denname,remarks,mother,cub1,cub2,cub3,allosuckling1,allosuckling2,observer
su00123,1997-07-02,18:52,-3.16383,35.61650,,,M-006,M-098,,,,,
su00124,1997-08-16,9:13,,,den Lugi,prob SU L-080 + L-081,L-001,L-080,L-081,,,,
su00125,1997-08-19,10:01,-3.164,35.61233,,,M-005,M-101,M-102,,,,
su00126,1997-08-19,20:52,-3.164,35.61233,,,M-007,M-100,,,,,
su00127,1997-08-19,20:52,-3.164,35.61233,,,M-006,M-098,M-099,,,,
su00128,1997-08-19,20:53,-3.164,35.61233,,,M-005,M-101,M-102,,,,
su00129,1997-08-19,22:09,-3.164,35.61233,,,M-012,M-103,M-104,,,,
su00130,1997-08-20,0:30,-3.164,35.61233,,,M-009,M-108,M-109,,,,
su00131,1997-08-20,0:33,-3.164,35.61233,,,M-012,M-103,M-104,,,,
su00132,1997-08-20,5:08,-3.164,35.61233,,,M-014,M-105,M-106,,,,
su00133,1997-08-20,19:00,-3.164,35.61233,,,M-007,M-100,,,,,
su00134,1997-08-20,21:53,-3.164,35.61233,,,M-009,M-108,M-109,,,,
su00135,1997-08-21,0:55,-3.164,35.61233,,,M-002,M-110,M-111,,,,
su00136,1997-08-21,1:09,-3.164,35.61233,,,M-014,M-105,M-106,,,,
su00137,1997-08-21,2:57,-3.164,35.61233,,,M-002,M-110,M-111,,,,
su00138,1997-08-21,3:13,-3.164,35.61233,,,M-014,M-105,M-106,,,,
su00139,1997-08-21,3:22,-3.164,35.61233,,,M-006,M-098,M-099,,,,
su00140,1997-08-21,4:20,-3.16400,35.61233,,,M-043,M-107,,,,,
su00141,1997-08-21,6:51,-3.16400,35.61233,,,M-007,M-100,,,,,
su00142,1997-08-21,7:14,-3.164,35.61233,,,M-043,M-112,,,,,
su00143,1997-08-21,20:10,-3.164,35.61233,,,M-043,M-107,M-112,,,,
su00144,1997-08-21,20:23,-3.164,35.61233,,,M-009,M-108,M-109,,,,
su00145,1997-08-22,5:02,-3.164,35.61233,,,M-009,M-108,M-109,,,,
su00146,1997-08-22,6:16,-3.164,35.61233,,,M-006,M-098,M-099,,,,
su00147,1997-08-22,6:26,-3.164,35.61233,,,M-007,M-100,,,,,
su00148,1997-08-23,0:17,-3.164,35.61233,,,M-012,M-103,M-104,,,,
su00149,1997-08-26,8:55,,,den Alidada,,A-015,A-091,,,,,
su00150,1997-08-27,8:22,-3.164,35.61233,,,M-005,M-101,M-102,,,,
su00151,1997-08-27,9:31,-3.164,35.61233,,,M-007,M-100,,,,,
su00152,1997-08-27,18:47,-3.164,35.61233,,,M-014,M-105,M-106,,,,
su00153,1997-08-30,7:25,-3.164,35.61233,,,M-014,M-105,,,,,
su00154,1997-09-01,7:24,-3.164,35.61233,,,M-043,M-107,M-112,,,,
su00155,1997-09-01,7:40,-3.164,35.61233,,,M-014,M-105,M-106,,,,
su00156,1997-09-02,8:57,-3.17817,35.54633,,,L-001,L-081,,,,,
su00157,1997-09-02,17:52,-3.1935,35.573,,,L-013,L-095,,,,,
su00158,1997-09-03,7:28,-3.16283,35.6135,,,M-017,M-113,M-114,,,,
su00159,1997-09-03,18:17,-3.17933,35.5455,,,L-013,L-095,,,,,
su00160,1997-09-06,7:46,-3.18333,35.56200,,,L-012,L-084,,,,,
su00161,1997-09-06,17:35,-3.17883,35.56267,,,L-014,L-095,,,L-095,,
su00162,1997-09-06,18:27,-3.17883,35.56267,,,L-004,L-101,L-102,,,,
su00163,1997-09-08,6:44,-3.164,35.61233,,,M-017,M-113,,,,,
su00164,1997-09-17,6:51,-3.17883,35.56967,,,L-004,L-101,L-102,,,,
su00165,1997-09-18,2:14,-3.17883,35.56967,,,L-015,L-100,,,,,
su00166,1997-09-20,6:12,-3.17883,35.56967,,,L-015,L-100,,,,,
su00167,1997-10-06,18:15,-3.18033,35.56867,,,L-004,L-101,L-102,,,,
su00168,1997-10-11,18:03,-3.18033,35.56867,,,L-004,L-101,L-102,,,,
su00169,1997-10-12,17:05,-3.18033,35.56867,,,L-004,L-101,,,,,
su00170,1997-10-16,7:55,-3.16200,35.61533,den Moru B,,M-017,M-110,,,M-110,,
su00171,1997-10-16,16:40,-3.162,35.61533,,,M-007,M-100,,,,,
su00172,1997-10-17,20:56,-3.162,35.61533,,,M-007,M-100,,,,,
su00173,1997-10-19,1:20,-3.16200,35.61533,,,M-005,M-101,M-102,,,,
su00174,1997-10-19,5:53,-3.16200,35.61533,,,M-012,M-103,M-104,,,,
su00175,1998-01-11,17:40,-3.19267,35.59833,,,L-009,L-093,,,,,
su00176,1998-01-18,7:18,-3.19083,35.59733,,,L-013,L-095,,,,,
su00177,1998-01-18,17:47,-3.164,35.61233,,,M-005,M-101,M-102,,,,
su00178,1998-01-28,7:31,-3.18933,35.60333,,,L-014,L-094,,,,,
su00179,1998-01-28,7:37,-3.19067,35.60283,,,L-009,L-093,,,,,
su00180,1998-01-29,18:56,-3.19417,35.5975,,,L-008,L-105,L-106,,,,
su00181,1998-02-01,18:04,-3.19417,35.5975,,,L-008,L-105,L-106,,,,
su00182,1998-02-03,9:06,-3.19267,35.59333,,,L-013,L-095,,,,,
su00183,1998-02-04,19:04,-3.162,35.61533,,,M-017,M-113,M-114,,,,
su00184,1998-05-05,8:10,-3.20467,35.61217,,,N-003,N-082,N-083,,,,
su00185,1998-02-06,17:55,-3.19417,35.5975,,,L-005,L-108,L-109,,,,
su00186,1998-02-07,18:32,-3.19417,35.5975,,,L-008,L-105,,,,,
su00187,1998-02-09,18:00,-3.162,35.61533,,,M-017,M-113,M-114,,,,
su00188,1998-02-11,20:25,-3.162,35.61533,,,M-017,M-113,,,,,
su00189,1998-02-11,20:29,-3.162,35.61533,,,M-017,M-113,M-114,,,,
su00190,1998-02-11,20:52,-3.162,35.61533,,,M-007,M-100,,,,,
su00191,1998-02-12,7:14,-3.162,35.61533,,,M-017,M-113,M-114,,,,
su00192,1998-02-22,7:09,-3.15267,35.63833,,,M-005,M-102,,,,,
su00193,1998-03-07,17:58,-3.18783,35.58417,,,L-005,L-108,L-109,,,,
su00194,1998-03-10,6:54,-3.18783,35.58417,,,L-008,L-105,L-106,,,,
su00195,1998-03-11,6:56,-3.18783,35.58417,,,L-005,L-108,L-109,,,,
su00196,1998-03-11,21:49,-3.18783,35.58417,,,L-008,L-105,L-106,,,,
su00197,1998-03-12,5:57,-3.18783,35.58417,,,L-005,L-108,L-109,,,,
su00198,1998-03-13,6:08,-3.18783,35.58417,,,L-008,L-105,L-106,,,,
su00199,1998-03-14,6:59,-3.18783,35.58417,,,L-008,L-105,L-106,,,,
su00200,1998-03-31,18:26,-3.18783,35.58417,,,L-005,L-108,L-109,,,,
su00201,1998-04-09,18:41,-3.18783,35.58417,,,L-005,L-108,L-109,,,,
su00202,1998-04-14,18:01,-3.18783,35.58417,,,L-005,L-108,L-109,,,,
su00203,1998-04-29,18:12,-3.18783,35.58417,,,L-005,L-108,L-109,,,,
su00204,1998-05-09,20:24,-3.18783,35.58417,,,L-005,L-108,L-109,,,,
su00205,1998-05-09,20:27,-3.18783,35.58417,,,L-008,L-105,L-106,,,,
su00206,1998-05-09,21:12,-3.18783,35.58417,,,L-011,L-107,,,,,
su00207,1998-05-11,9:08,-3.18783,35.58417,,,L-009,L-114,,,,,
su00208,1998-05-11,23:32,-3.18783,35.58417,,,L-002,L-096,L-097,,,,
su00209,1998-05-12,6:37,-3.18783,35.58417,,,L-011,L-107,,,,,
su00210,1998-05-13,17:28,-3.18783,35.58417,,,L-011,L-107,,,,,
su00211,1998-05-13,20:34,-3.18783,35.58417,,,L-005,L-108,L-109,,,,
su00212,1998-05-13,23:56,-3.18783,35.58417,,,L-008,L-105,L-106,,,,
su00213,1998-05-17,9:40,-3.18267,35.61433,,,L-013,L-095,,,,,
su00214,1998-05-27,8:07,-3.17450,35.59533,den Mandi,details see separate table,L-004,L-116,,,L-116,,
su00215,1998-05-28,7:25,-3.1745,35.59533,,,L-002,L-096,L-097,,,,
su00216,1998-05-29,7:40,-3.17450,35.59533,den Mandi,details see separate table,L-088,L-111,L-116,,L-116,,
su00217,1998-05-30,8:36,-3.17450,35.59533,den Mandi,details see separate table,L-088,L-111,L-116,,L-116,,
su00218,1998-05-30,17:41,-3.17450,35.59533,den Mandi,details see separate table,L-088,L-111,L-116,,L-116,,
su00219,1998-05-31,18:08,-3.17450,35.59533,den Mandi,details see separate table,L-088,L-111,L-116,,L-116,,
su00220,1998-06-01,18:02,-3.17633,35.59217,,,L-008,L-105,L-106,,,,
su00221,1998-06-03,7:28,-3.17450,35.59533,den Mandi,details see separate table,L-088,L-111,L-116,,L-116,,
su00222,1998-06-03,17:41,-3.17450,35.59533,den Mandi,details see separate table,L-088,L-111,L-116,,L-116,,
su00223,1998-06-07,17:17,-3.17450,35.59533,den Mandi,details see separate table,L-088,L-111,L-116,,L-116,,
su00224,1998-06-07,17:38,-3.1745,35.59533,den Mandi,,L-088,L-111,,,,,
su00225,1998-06-08,16:14,-3.17633,35.59217,den Moon,details see separate table,L-088,L-111,L-116,,L-116,,
su00226,1998-06-09,14:58,-3.17633,35.59217,den Moon,,L-008,L-105,L-106,,,,
su00227,1998-06-09,15:18,-3.17633,35.59217,den Moon,details see separate table,L-088,L-111,L-116,,L-116,,
su00228,1998-06-10,3:11,-3.17633,35.59217,den Moon,,L-008,L-105,L-106,,,,
su00229,1998-06-10,17:25,-3.17633,35.59217,,,L-012,L-112,,,,,
su00230,1998-06-10,18:52,-3.17633,35.59217,,,L-012,L-112,,,,,
su00231,1998-06-11,6:35,-3.17633,35.59217,,,L-011,L-107,,,,,
su00232,1998-06-11,19:03,-3.17633,35.59217,,,L-008,L-105,L-106,,,,
su00233,1998-06-12,0:03,-3.17633,35.59217,,,L-012,L-112,,,,,
su00234,1998-06-13,3:56,-3.17633,35.59217,,,L-012,L-112,,,,,
su00235,1998-06-13,5:27,-3.17633,35.59217,,,L-011,L-107,,,,,
su00236,1998-06-30,18:15,-3.18150,35.58300,den Lumpi,details see separate table,L-088,L-111,L-116,,L-116,,
su00237,1998-07-03,18:16,-3.18150,35.58300,den Lumpi,details see separate table,L-088,L-111,L-116,,L-116,,
su00238,1998-07-04,7:02,-3.18150,35.58300,den Lumpi,details see separate table,L-088,L-111,L-116,,L-116,,
su00239,1998-07-07,9:13,-3.17800,35.56200,,,L-008,L-105,L-106,,,,
su00240,1998-07-18,18:28,-3.17467,35.62917,,,M-014,M-120,M-121,,,,
su00241,1998-07-19,18:56,-3.18067,35.58383,den Lumpi 2,details see separate table,L-088,L-111,L-116,,L-116,,
su00242,1998-08-20,7:05,-3.17917,35.57083,,,L-002,L-096,L-097,,,,
su00243,1998-08-28,9:56,-3.17917,35.57083,den Lake,details see separate table,L-088,L-111,L-116,,L-116,,
su00244,1998-08-29,9:01,-3.17917,35.57083,den Lake,details see separate table,L-088,L-116,,,L-116,,
su00245,1998-08-30,17:41,-3.17917,35.57083,den Lake,details see separate table,L-088,L-111,L-116,,L-116,,
su00246,1998-08-31,18:41,-3.17917,35.57083,den Lake,details see separate table,L-088,L-111,L-116,,L-116,,
su00247,1998-09-01,18:38,-3.17917,35.57083,den Lake,details see separate table,L-088,L-111,L-116,,L-116,,
su00248,1998-09-02,6:52,-3.14117,35.62483,,,M-009,M-117,,,,,
su00249,1998-09-02,6:52,-3.14117,35.62483,,,M-043,M-116,,,,,
su00250,1998-09-02,7:32,-3.14117,35.62483,,,M-014,M-120,M-121,,,,
su00251,1998-09-05,10:36,-3.14117,35.62483,,,M-005,M-118,M-119,,,,
su00252,1998-09-05,19:37,-3.14117,35.62483,,,M-005,M-118,M-119,,,,
su00253,1998-09-06,19:07,-3.14117,35.62483,,,M-009,M-117,,,,,
su00254,1998-09-07,5:49,-3.14117,35.62483,,,M-043,M-116,,,,,
su00255,1998-09-07,6:18,-3.14117,35.62483,,,M-009,M-117,,,,,
su00256,1998-09-08,7:26,-3.14117,35.62483,,,M-006,M-122,M-123,,,,
su00257,1998-09-08,18:45,-3.14117,35.62483,,,M-004,M-115,,,,,
su00258,1998-09-08,23:24,-3.14117,35.62483,,,M-009,M-117,,,,,
su00259,1998-09-09,8:46,-3.14117,35.62483,,,M-043,M-116,,,,,
su00260,1998-09-12,11:31,-3.17600,35.55917,,,L-008,L-105,L-106,,,,
su00261,1998-09-21,18:00,-3.17917,35.57083,,,L-004,L-117,L-118,,,,
su00262,1998-10-05,19:20,-3.2035,35.602,,,N-007,N-093,N-094,,,,
su00263,1998-10-07,0:11,-3.2035,35.602,,,N-006,N-089,,,,,
su00264,1998-10-07,0:13,-3.2035,35.602,,,N-007,N-093,N-094,,,,
su00265,1998-10-09,5:35,-3.2035,35.602,,,N-007,N-093,,,,,
su00266,1998-10-09,5:48,-3.2035,35.602,,,N-007,N-093,N-094,,,,
su00267,1998-10-14,8:21,-3.18033,35.57000,,,L-009,L-114,,,,,
su00268,1998-10-19,8:55,-3.18250,35.56967,,,L-008,L-105,L-106,,,,
su00269,1998-10-29,6:59,,,,details see separate table,L-088,L-111,L-116,,L-116,,
su00270,1998-11-03,18:10,-3.14767,35.56933,,SU E-087 or E-088,E-003,cub,,,,,
su00271,1998-11-03,21:08,-3.14767,35.56933,,,E-004,E-006,,,,,
su00272,1998-11-05,0:10,-3.14767,35.56933,,,E-001,E-085,E-086,,,,
su00273,1998-11-06,17:09,-3.14767,35.56933,,,E-003,E-087,E-088,,,,
su00274,1998-11-07,17:05,,,,details see separate table,L-088,L-111,L-116,,L-116,,
su00275,1998-12-05,17:08,-3.17750,35.55750,,,L-008,L-105,,,,,
su00276,1998-12-06,7:40,,,,details see separate table,L-088,L-111,L-116,,L-116,,
su00277,1998-12-13,17:23,,,,details see separate table,L-088,L-111,L-116,,L-116,,
su00278,1998-12-22,6:41,-3.17067,35.56517,,,L-011,L-107,,,,,
su00279,1998-12-22,8:20,-3.17067,35.54250,,,L-015,L-100,,,,,
su00280,1999-04-03,9:34,-3.17583,35.57800,,,L-012,L-112,,,,,
su00281,1999-04-12,8:25,-3.17983,35.55900,,,L-005,L-108,,,,,
su00282,1999-04-20,17:57,-3.15033,35.618,,,M-081,M-134,M-135,,,,
su00283,1999-04-28,8:42,-3.15033,35.618,,,M-007,M-132,M-133,,,,
su00284,1999-04-29,22:45,-3.15033,35.618,,,M-081,M-134,M-135,,,,
su00285,1999-04-30,3:04,-3.15033,35.618,,,M-007,M-132,M-133,,,,
su00286,1999-05-01,23:22,-3.15033,35.618,,,M-007,M-132,M-133,,,,
su00287,1999-05-04,17:30,-3.18200,35.58733,,,L-005,L-108,,,,,
su00288,1999-05-10,6:38,,,den Lick,,L-010,L-119,,,,,
su00289,1999-05-10,6:38,,,den Lick,,L-014,L-120,L-121,,,,
su00290,1999-05-13,9:10,-3.15033,35.618,,,M-017,M-136,M-137,,,,
su00291,1999-05-14,17:52,-3.15567,35.615,,,M-082,M-128,M-129,,,,
su00292,1999-05-27,20:18,-3.14117,35.62483,,,M-082,M-128,M-129,,,,
su00293,1999-05-28,0:42,-3.14117,35.62483,,,M-017,M-136,M-137,,,,
su00294,1999-05-28,18:54,-3.14117,35.62483,,,M-082,M-128,M-129,,,,
su00295,1999-05-29,9:25,-3.14117,35.62483,,,M-081,M-134,M-135,,,,
su00296,1999-05-29,17:55,-3.14117,35.62483,,,M-082,M-128,M-129,,,,
su00297,1999-05-29,21:02,-3.14117,35.62483,,,M-091,M-130,M-131,,,,
su00298,1999-05-30,1:27,-3.14117,35.62483,,,M-012,M-125,M-126,,,,
su00299,1999-05-30,5:21,-3.14117,35.62483,,,M-082,M-128,,,,,
su00300,1999-05-30,5:40,-3.14117,35.62483,,,M-091,M-130,M-131,,,,
su00301,1999-05-30,19:30,-3.14117,35.62483,,,M-082,M-128,M-129,,,,
su00302,1999-05-31,4:09,-3.14117,35.62483,,,M-082,M-128,M-129,,,,
su00303,1999-05-31,19:17,-3.14117,35.62483,,,M-017,M-136,M-137,,,,
su00304,1999-06-03,19:00,-3.14083,35.62317,,,M-014,M-120,M-121,,,,
su00305,1999-11-28,10:43,-3.17133,35.54083,,,L-009,L-114,,,,,
su00306,1999-12-02,18:35,-3.14700,35.57450,,,L-088,L-129,,,,,
su00307,1999-12-14,7:47,-3.12133,35.59783,,M-118 is from previous litter!!,M-005,M-118,M-146,,,,
su00308,1999-12-14,8:16,-3.12133,35.59600,,,M-009,M-142,M-143,,,,
su00309,1999-12-15,7:13,-3.15150,35.51550,,,A-001,A-107,A-108,,,,
su00310,1999-12-15,7:13,-3.15150,35.51550,,,A-080,A-110,cub,,,,
su00311,1999-12-18,6:29,,,den Namba,SU N-097 or N-097,N-005,cub,,,,,
su00312,1999-12-18,16:30,,,den Shamba,,A-018,S-086,S-087,,,,
su00313,1999-12-22,6:52,,,den Mbali,,M-006,M-144,M-145,,,,
su00314,1999-12-22,6:52,,,den Mbali,,M-009,M-142,M-143,,,,
su00315,1999-12-22,6:52,,,den Mbali,,M-081,M-134,,,,,
su00316,1999-12-22,6:52,,,den Mbali,,M-091,M-130,,,,,
su00317,1999-12-25,7:00,,,den Shamba,,A-008,S-085,,,,,
su00318,1999-12-29,9:26,-3.17767,35.56117,,,L-015,L-126,L-127,,,,
