name,sex,birthclan,birthdate,mothergenetic,mothersocial,father,litterdominance,DNA,litterdominancegenetic,name2,deathconfirmed,deathcause,comments,resident
A-121,1,A,2000-02-09,A-003,A-003,M-051,,TRUE,,,,shot by rangers,shot by rangers in F-terr,native
A-122,1,A,2000-04-01,A-016,A-016,M-053,1,TRUE,1,,,,,native
A-123,1,A,2000-04-01,A-016,A-016,M-053,2,TRUE,2,,,,,native
A-124,1,A,2000-04-21,A-081,A-081,M-051,,TRUE,,Msalaba,,,,native
A-125,1,A,2000-06-25,A-009,A-009,A-040,1,TRUE,1,,,,,native
A-126,1,A,2000-06-25,A-009,A-009,,2,FALSE,2,,,,,native
A-127,1,A,2000-07-25,A-001,A-001,A-042,1,TRUE,1,,,shot by rangers (?),,native
A-128,1,A,2000-07-25,A-001,A-001,A-042,2,TRUE,2,Kipimo,,,,native
A-129,2,A,2000-09-11,A-080,A-080,M-051,1,TRUE,1,,,,,native
A-130,1,A,2000-09-11,A-080,A-080,M-051,2,TRUE,2,,,,,native
A-131,1,A,2001-02-25,A-006,A-006,A-011,1,TRUE,1,,,,,native
A-132,2,A,2001-02-25,A-006,A-006,A-011,2,TRUE,2,Baerli,,,,native
A-133,2,A,2001-04-20,A-003,A-003,,1,FALSE,1,,,,,native
A-134,1,A,2001-04-20,A-003,A-003,,2,FALSE,2,,,,,native
A-135,2,A,2001-04-10,A-114,A-114,X-017,1,TRUE,1,,,,,native
A-136,2,A,2001-04-10,A-114,A-114,X-017,2,TRUE,2,,,,,native
A-137,1,A,2000-12-11,A-015,A-015,M-051,,TRUE,,Shiriki,,,,native
A-138,1,A,2001-02-15,A-081,A-081,M-051,,TRUE,,,,,,native
A-139,2,A,2001-05-05,A-020,A-020,M-051,1,TRUE,1,,,,,native
A-140,2,A,2001-05-05,A-020,A-020,M-051,2,TRUE,2,,,,,native
A-141,,A,2001-10-02,A-013,A-013,,1,FALSE,1,,,,,native
A-142,1,A,2001-10-02,A-013,A-013,M-051,2,TRUE,2,,,,,native
A-143,2,A,2001-11-18,A-009,A-009,M-051,,TRUE,,,,,,native
A-144,2,A,2002-03-01,A-101,A-101,M-053,,TRUE,,,,,,native
A-145,2,A,2002-05-21,A-003,A-003,A-051,1,TRUE,1,,,,,native
A-146,1,A,2002-05-01,A-001,A-001,A-011,,TRUE,,Nondo,,,,native
A-147,,A,2002-05-21,A-003,A-003,,2,FALSE,2,,,,,native
A-148,1,A,2002-04-11,A-105,A-105,X-017,1,TRUE,1,Tofali,,,,native
A-149,2,A,2002-04-11,A-105,A-105,X-017,2,TRUE,2,,,,,native
A-150,1,A,2002-07-28,A-114,A-114,M-053,1,TRUE,1,Jibini,,,,native
A-151,1,A,2002-07-28,A-114,A-114,M-053,2,TRUE,2,Panzi,,,,native
A-152,1,A,2002-08-12,A-006,A-006,,1,FALSE,1,,,,,native
A-153,,A,2002-08-12,A-006,A-006,,2,FALSE,2,,,,,native
A-154,2,A,2002-12-10,A-119,A-119,M-041,1,TRUE,1,,,,,native
A-155,2,A,2002-12-10,A-119,A-119,,2,TRUE,2,,,,,native
A-156,1,A,2002-11-20,A-016,A-016,,,FALSE,,,,,,native
A-157,,A,2002-11-30,,,,1,FALSE,1,,,,,native
A-158,,A,2002-11-30,,,,2,FALSE,2,,,,,native
A-159,2,A,2002-12-17,A-013,A-013,X-017,1,TRUE,1,,,,,native
A-160,1,A,2002-12-17,A-013,A-013,,2,FALSE,2,,,,,native
A-161,,A,2002-12-23,A-080,A-080,,,FALSE,,,,,,native
A-162,,A,2003-01-07,A-081,A-081,,,FALSE,,A-cub1,,,,native
A-163,1,A,2003-01-01,A-106,A-106,M-053,,TRUE,,A-cub5,2006-02-08,lions,"lions, neck broken, paralised, puncture holes on neck and both sides of body, lungs punctured/collapsed, stomach punctured, bleeding a lot from neck wounds, blood in lungs, liver, kidney",native
A-164,2,A,2002-07-25,A-102,A-102,L-108,,TRUE,,Hekima,,,,native
A-165,2,A,2003-05-31,A-009,A-009,A-051,1,TRUE,1,,,,,native
A-166,1,A,2003-05-31,A-009,A-009,A-051,2,TRUE,2,,,,,native
A-167,2,A,2003-06-28,A-080,A-116,A-092,1,TRUE,1,A-171,,,,native
A-168,1,A,2003-06-28,A-080,A-080,,,FALSE,2,,,,,native
A-169,,A,2003-07-09,A-015,A-015,,1,FALSE,1,,,,,native
A-170,,A,2003-07-09,A-015,A-015,,2,FALSE,2,,,,,native
A-171,,A,2003-07-25,A-016,A-016,,2,FALSE,2,,,,,native
A-172,2,A,2003-07-17,A-116,A-116,,2,FALSE,,,,,,native
A-173,2,A,2003-08-15,A-006,A-006,,,TRUE,,,,,,native
A-174,1,A,2004-03-02,A-114,A-114,M-053,,TRUE,,,,,,native
A-175,2,A,2004-04-13,A-135,A-135,,1,FALSE,1,,,,,native
A-176,1,A,2004-04-13,A-135,A-135,,2,FALSE,2,,,,,native
A-177,2,A,2004-04-16,A-003,A-003,,1,FALSE,1,,,,,native
A-178,2,A,2004-04-16,A-003,A-003,A-051,2,TRUE,2,,,,,native
A-179,1,A,2004-04-19,A-107,A-107,L-111,,TRUE,,,,,,native
A-180,2,A,2004-06-22,A-136,A-136,,1,FALSE,1,,,starvation,starved after mother died,native
A-181,1,A,2004-06-22,A-136,A-136,X-024,2,TRUE,2,,,starvation,starved after mother died,native
A-182,1,A,2004-09-05,A-106,A-106,X-024,,TRUE,,Jirani,,,,native
A-183,1,A,2004-09-06,A-102,A-102,L-108,1,TRUE,1,,,,,native
A-184,1,A,2004-09-06,A-102,A-102,L-108,2,TRUE,2,,,,,native
A-185,1,A,2004-10-27,A-016,A-016,A-051,,TRUE,,,,,,native
A-186,2,A,2004-11-21,A-135,A-135,X-017,1,TRUE,1,,,,,native
A-187,1,A,2004-11-21,A-135,A-135,X-017,2,TRUE,2,,,,,native
A-188,2,A,2004-11-14,A-001,A-001,,1,FALSE,1,,,,,native
A-189,1,A,2004-11-14,A-001,A-001,,2,FALSE,2,,,,,native
A-190,2,A,2004-12-12,,,,,FALSE,,,,,,native
A-191,2,A,2004-12-29,A-129,A-129,,,FALSE,,,,,,native
A-192,2,A,2005-01-13,A-114,A-116,L-108,,TRUE,1,,,,"reared by A-116, thought to be cub of A-116 born on 050112, but genetics show that it is second cub of A-114 that was adopted by A-116. A-116 must have had a litter at this time that she lost early, or A-193 is genetic cub of A-116 that was adopted by A-114.",native
A-193,2,A,2005-01-13,A-114,A-114,,,FALSE,2,,,starvation,starved after mother died,native
A-194,2,A,2005-01-28,A-013,A-013,A-051,1,TRUE,1,"Malkia, X-136",2019-07-06,disease,"Streptococcus, front leg and shoulder of ad HY found in A-territory, CW on by A-441 and given ID X-136. Could be A-194 who was last seen on 2019-07-03 with severe Streptococcus swelling. Confirmed by genetics.",native
A-195,2,A,2005-01-28,A-013,A-013,A-051,2,TRUE,2,,,,,native
A-196,1,A,2005-02-27,A-020,A-020,L-095,,TRUE,,,,,,native
A-197,2,A,2005-03-18,A-081,A-081,,1,FALSE,1,,,,,native
A-198,1,A,2005-03-18,A-081,A-081,X-017,2,TRUE,2,,,,,native
A-199,1,A,2005-05-08,A-119,A-119,L-108,,TRUE,,,,,,native
A-200,2,A,2005-08-02,A-009,A-009,X-024,1,TRUE,1,,,,,native
A-201,2,A,2005-08-02,A-009,A-009,X-024,2,TRUE,2,,,,,native
A-202,,A,2005-07-10,A-080,A-080,,1,FALSE,1,,,starvation,starved after mother died,native
A-203,1,A,2005-07-10,A-080,A-080,,2,FALSE,2,,,starvation,starved after mother died,native
A-204,2,A,2005-07-28,A-132,A-132,A-092,,TRUE,,,,,,native
A-205,2,A,2005-09-17,A-115,A-115,,,FALSE,,,,,,native
A-206,2,A,2005-10-22,A-001,A-001,L-138,,TRUE,,X-064,,,,native
A-207,2,A,2005-12-25,A-006,A-006,L-138,,TRUE,,,,,,native
A-208,1,A,2005-12-14,A-139,A-139,,1,FALSE,1,,,,,native
A-209,1,A,2005-12-14,A-139,A-139,X-024,2,TRUE,2,,,,,native
A-210,1,A,2006-01-27,A-015,A-015,X-017,,TRUE,,,,,,native
A-211,,A,2006-02-09,A-107,A-107,,,FALSE,,,,,,native
A-212,2,A,2006-02-06,A-164,A-164,,,FALSE,,,,,,native
A-213,1,A,2006-03-09,A-135,A-135,L-137,1,TRUE,1,A-mcub,,,,native
A-214,,A,2006-03-09,A-135,A-135,,2,FALSE,2,,,,,native
A-215,1,A,2006-07-17,A-106,A-106,M-051,1,TRUE,1,,,,thought to be cubs of A-145 but on 070626 seen su from A-106,native
A-216,1,A,2006-07-17,A-106,A-106,M-051,2,TRUE,2,,,,"bent left ear, thought to be cubs of A-145 but on 070626 seen su from A-106",native
A-217,1,A,2006-08-10,A-140,A-140,,,FALSE,,,,,,native
A-218,2,A,2006-08-01,A-081,A-081,,1,TRUE,1,,,,,native
A-219,1,A,2006-08-01,A-081,A-081,,2,TRUE,2,,,,,native
A-220,,A,2006-09-25,A-164,A-164,,,FALSE,,,,,,native
A-221,2,A,2006-10-16,A-119,A-119,L-095,,TRUE,,,,,"thought to be cub of A-013, but is genetic cub of A-119. Not seen su from either female, but prob adopted by A-013",native
A-222,1,A,2006-10-17,A-013,A-013,X-017,,TRUE,,Eado,,,,native
A-223,2,A,2007-03-09,A-115,A-115,X-017,,TRUE,,large,,,,native
A-224,2,A,2007-04-13,A-016,A-016,L-108,,TRUE,,light,,,,native
A-225,1,A,2007-04-20,A-132,A-132,X-024,1,TRUE,1,,,,,native
A-226,2,A,2007-04-20,A-132,A-132,X-024,2,TRUE,2,,,,,native
A-227,2,A,2007-06-17,A-116,A-116,L-128,,TRUE,,beauty,,,,native
A-228,2,A,2006-10-28,A-107,A-102,A-092,,TRUE,,,,,,native
A-229,2,A,2006-10-12,A-159,A-159,L-128,,TRUE,,,,,,native
A-230,2,A,2007-06-13,A-164,A-164,X-017,,TRUE,,dark,,,,native
A-231,1,A,2007-06-22,A-145,A-145,L-128,,TRUE,,,,,,native
A-232,2,A,2007-09-20,A-140,A-140,X-024,,TRUE,,well-fed,,,,native
A-233,2,A,2007-10-12,A-139,A-139,X-024,1,TRUE,1,,,,assigned to A-139 only on 083020 when both su from A-139,native
A-234,1,A,2007-10-12,A-139,A-139,X-024,2,TRUE,2,,,,,native
A-235,1,A,2007-11-14,A-195,A-195,L-128,1,TRUE,1,,,,,native
A-236,,A,2007-11-14,A-195,A-195,,2,FALSE,2,,,,,native
A-237,1,A,2008-01-29,A-194,A-194,L-128,2,TRUE,2,,,,,native
A-238,2,A,2008-01-29,A-194,A-194,L-128,1,TRUE,1,Kilema,,,,native
A-239,2,A,2008-02-05,A-106,A-106,X-024,1,TRUE,1,,,,,native
A-240,1,A,2008-02-05,A-106,A-106,X-024,2,TRUE,2,,,,,native
A-241,2,A,2008-02-27,A-119,A-119,M-051,1,TRUE,1,,,,,native
A-242,1,A,2008-02-27,A-119,A-119,,2,FALSE,2,,,,,native
A-243,2,A,2008-03-02,A-107,A-107,X-024,,TRUE,,,,,,native
A-244,2,A,2008-03-04,A-102,A-102,,,FALSE,,,,,,native
A-245,2,A,2008-08-30,A-081,A-081,L-137,1,TRUE,1,,,,,native
A-246,1,A,2008-08-30,A-081,A-081,,2,TRUE,2,,,,,native
A-247,2,A,2008-09-27,A-102,A-102,M-051,1,TRUE,1,,,,,native
A-248,1,A,2008-09-27,A-102,A-102,M-051,2,TRUE,2,,2011-02-08,lions,"lions, deadly injuries",native
A-249,,A,2008-10-05,A-164,A-164,,,FALSE,,,,,,native
A-250,2,A,2008-10-23,A-116,A-116,L-095,1,TRUE,1,Ritalina,,,,native
A-251,,A,2008-10-23,A-116,A-116,,2,FALSE,2,,,,,native
A-252,2,A,2008-10-25,A-192,A-192,L-137,1,TRUE,1,,,,"on 090721 A-192 su 2 cubs for an extended time, one is A-252, the other what we termed A-249?. Either A-192 had two from the beginning but several times su only A-252, or she adopted either A-251 or A-249. Genetics show that A-192 has two cubs - A-164 must have lost her cub. Second cub of A-192 given the number A-253 and other cubs given following numbers",native
A-253,2,A,2008-10-25,A-192,A-192,L-137,2,TRUE,2,,,,,native
A-254,1,A,2009-02-21,A-139,A-139,M-203,,TRUE,,,,,,native
A-255,2,A,2009-02-22,A-140,A-140,L-137,,TRUE,,,,,,native
A-256,2,A,2009-03-01,A-145,A-145,X-017,2,TRUE,2,,,,,native
A-257,1,A,2009-03-01,A-145,A-145,X-017,1,TRUE,1,,,,,native
A-258,1,A,2009-06-01,A-204,A-204,M-203,,TRUE,,,,,,native
A-259,2,A,2009-06-12,A-194,A-194,F-112,1,TRUE,1,,,,,native
A-260,2,A,2009-06-12,A-194,A-194,L-196,2,TRUE,2,,,,,native
A-261,1,A,2009-08-02,A-119,A-119,M-203,,TRUE,,,,,,native
A-262,2,A,2009-09-01,A-107,A-107,,1,TRUE,1,Kina,,,,native
A-263,1,A,2009-09-01,A-107,A-107,,2,TRUE,2,Mtindo,,,,native
A-264,1,A,2009-09-12,A-195,A-195,L-196,1,TRUE,1,,,,,native
A-265,2,A,2009-09-12,A-195,A-195,L-128,2,TRUE,2,,,,,native
A-266,2,A,2009-09-24,A-106,A-106,L-196,1,TRUE,1,,,,,native
A-267,2,A,2009-09-24,A-106,A-106,L-196,2,TRUE,2,,,,,native
A-268,1,A,2009-10-20,A-006,A-006,,,FALSE,,,,,,native
A-269,,A,2009-11-28,A-229,A-229,,1,FALSE,1,,,,,native
A-270,,A,2009-11-28,A-229,A-229,,2,FALSE,2,,,,,native
A-271,1,A,2010-01-24,A-164,A-164,,1,FALSE,1,,,,,native
A-272,1,A,2010-01-24,A-164,A-164,,2,FALSE,2,,,,,native
A-273,2,A,2010-01-29,A-206,A-206,F-112,2,TRUE,2,,,,,native
A-274,1,A,2010-01-29,A-206,A-206,F-112,1,TRUE,1,,,,,native
A-275,1,A,2010-02-18,A-178,A-178,L-128,,TRUE,,,,,,native
A-276,1,A,2010-05-10,A-139,A-139,X-024,1,TRUE,1,,,,,native
A-277,1,A,2010-05-10,A-139,A-139,X-024,2,TRUE,2,,,,,native
A-278,2,A,2010-05-15,A-102,A-102,X-017,,TRUE,1,,,,,native
A-279,2,A,2010-05-20,A-192,A-192,X-024,2,TRUE,2,,,,,native
A-280,1,A,2010-05-20,A-192,A-192,X-024,1,TRUE,1,,,,,native
A-281,2,A,2010-06-14,A-229,A-229,S-123,1,TRUE,1,,,,,native
A-282,1,A,2010-06-14,A-229,A-229,S-123,2,TRUE,2,,,,,native
A-283,2,A,2010-06-24,A-140,A-140,M-203,1,TRUE,1,X-087,,,,native
A-284,2,A,2010-06-24,A-140,A-140,X-072,2,TRUE,2,,,,,native
A-285,1,A,2010-05-15,A-102,A-145,X-017,1,TRUE,2,,,,,native
A-286,2,A,2010-06-30,A-145,A-145,F-112,2,TRUE,,,,,,native
A-287,2,A,2010-07-05,A-238,A-238,M-203,,TRUE,,Sipahi,2019-06-18,disease,Streptococcus,native
A-288,1,A,2010-07-10,A-194,A-194,S-091,1,TRUE,1,,,,,native
A-289,1,A,2010-07-10,A-194,A-194,S-091,2,TRUE,2,,,,,native
A-290,2,A,2010-07-25,A-204,A-204,M-203,1,TRUE,1,,,,,native
A-291,1,A,2010-08-07,A-116,A-116,L-128,2,TRUE,2,Msaidizi,,,,native
A-292,1,A,2010-07-25,A-204,A-204,X-068,2,TRUE,2,,,,,native
A-293,1,A,2010-08-07,A-116,A-116,L-128,1,TRUE,1,,,,,native
A-294,1,A,2010-10-01,A-006,A-006,,,FALSE,,,,,,native
A-295,1,A,2010-10-15,A-221,A-221,S-123,,TRUE,,,,,,native
A-296,1,A,2011-02-05,A-230,A-230,S-123,,TRUE,,AcubA,,,,native
A-297,1,A,2011-02-07,A-119,A-119,M-224,,TRUE,,AcubF,,,,native
A-298,2,A,2011-02-10,A-107,A-107,M-203,1,TRUE,1,AcubC,,,,native
A-299,1,A,2011-02-10,A-107,A-107,M-203,2,TRUE,2,"AcubB, X-089",,,thought to be immigrant X-089 from outside estimated to be born 2011-06-09,native
A-300,1,A,2011-02-16,A-106,A-106,X-017,,TRUE,,,,,,native
A-301,2,A,2011-03-02,A-195,A-195,X-024,1,TRUE,1,"Kursi, AcubD",,,,native
A-302,2,A,2011-03-02,A-195,A-195,X-024,2,TRUE,2,"Yoshi, AcubE",,,,native
A-303,2,A,2011-05-04,A-164,A-164,X-017,1,TRUE,1,AcubG,,,,native
A-304,2,A,2011-05-04,A-164,A-164,X-017,2,TRUE,2,"Kataa, AcubH",,,,native
A-305,2,A,2011-06-12,A-194,A-194,M-224,1,TRUE,1,Muskarana,,,,native
A-306,1,A,2011-06-12,A-194,A-194,L-137,2,TRUE,2,,,,,native
A-307,1,A,2011-09-07,A-259,A-259,S-123,,TRUE,,,,,,native
A-308,1,A,2011-10-18,A-206,A-206,,1,FALSE,1,,,,,native
A-309,1,A,2011-10-18,A-206,A-206,,2,FALSE,2,,,,,native
A-310,2,A,2012-11-15,A-116,A-116,M-224,,TRUE,,A-331?,,,,native
A-311,1,A,2011-11-20,A-139,A-139,,1,FALSE,1,,,,,native
A-312,1,A,2011-11-20,A-139,A-139,,2,FALSE,2,,,,,native
A-313,2,A,2011-12-13,A-260,A-238,M-224,,TRUE,,,,,reared by A-238,native
A-314,1,A,2011-12-20,A-140,A-140,,,FALSE,,,,,,native
A-315,2,A,2011-12-29,A-192,A-192,M-203,,TRUE,,,,disease,,native
A-316,2,A,2012-01-20,A-233,A-233,F-128,1,TRUE,1,,,,,native
A-317,2,A,2012-01-20,A-233,A-233,,2,FALSE,2,,,,,native
A-318,2,A,2012-01-23,A-227,A-227,M-203,1,TRUE,1,,,,,native
A-319,1,A,2012-01-23,A-227,A-227,M-203,2,TRUE,2,,,,,native
A-320,,A,2012-01-27,,,,,FALSE,,,,disease,,native
A-321,,A,2012-04-19,A-145,A-145,,,FALSE,,,,,,native
A-322,,A,2012-04-22,A-116,A-116,,,FALSE,,,,disease,,native
A-323,2,A,2012-04-25,A-178,A-178,S-123,,TRUE,,A-female2,,,,native
A-324,2,A,2012-05-01,A-145,A-102,X-063,,TRUE,,A-female3,,,,native
A-325,1,A,2012-06-11,,,,,FALSE,,A-cub2,,,,native
A-326,2,A,2012-07-15,A-194,A-194,F-128,1,TRUE,1,Makini,,,,native
A-327,1,A,2012-07-15,A-194,A-194,F-128,2,TRUE,2,,2018-08-10,disease,died after consuming a dead hyena near ranger post according to rangers,native
A-328,1,A,2012-08-15,A-195,A-195,L-128,1,TRUE,1,,,,,native
A-329,2,A,2012-08-15,A-195,A-195,L-128,2,TRUE,2,Sanaa,,,,native
A-330,1,A,2012-08-15,A-195,A-195,,3,FALSE,3,,,,,native
A-331,1,A,2012-08-20,A-230,A-230,,1,FALSE,1,,,starvation,starved after mother died,native
A-332,1,A,2012-08-20,A-230,A-230,,2,FALSE,2,,,starvation,starved after mother died,native
A-333,1,A,2012-08-25,A-250,A-250,X-063,,TRUE,,,,,,native
A-334,2,A,2012-10-26,A-259,A-259,M-224,1,TRUE,1,,,,,native
A-335,2,A,2012-10-26,A-259,A-259,F-128,2,TRUE,2,,,,,native
A-336,1,A,2013-01-06,A-164,A-164,,,FALSE,,,,,,native
A-337,1,A,2013-04-08,A-106,A-106,M-224,1,TRUE,1,,,,,native
A-338,1,A,2013-04-08,A-106,A-106,M-224,2,TRUE,2,Kahawa,,,,native
A-339,2,A,2013-05-12,A-247,A-247,F-147,1,TRUE,1,,,,,native
A-340,1,A,2013-05-12,A-247,A-247,F-147,2,TRUE,2,,,,,native
A-341,2,A,2013-06-05,A-265,A-265,A-246,,TRUE,,,,,mother derived from genetic data (not seen suckling),native
A-342,2,A,2013-06-28,A-229,A-229,,1,FALSE,1,,,,,native
A-343,1,A,2013-06-28,A-229,A-229,M-224,2,TRUE,2,"X-158, A-cut_muzzle",,,,native
A-344,2,A,2013-07-20,A-221,A-221,M-224,1,TRUE,1,,,,,native
A-345,1,A,2013-07-20,A-221,A-221,M-224,2,TRUE,2,"Mchini, X-102",,,,native
A-346,1,A,2013-08-04,A-305,A-305,F-135,,TRUE,,Muhanga,,,,native
A-347,1,A,2013-09-06,A-232,A-232,,1,FALSE,1,,,,,native
A-348,1,A,2013-09-06,A-232,A-232,,2,FALSE,2,,,,,native
A-349,1,A,2013-09-08,A-145,A-145,X-063,1,TRUE,,,,,"mother derived from genetic data (not seen suckling), likely was adopted because A-145 last seen before conception of A-349",native
A-350,1,A,2013-09-08,A-145,A-145,,2,FALSE,,,,,,native
A-351,2,A,2012-03-27,A-229,A-229,M-224,,TRUE,,A-cub1,,,mother derived from genetic data (not seen suckling),native
A-352,2,A,2013-11-17,A-255,A-255,F-146,,TRUE,,A-361,,,mother derived from genetic data (not seen suckling),native
A-353,2,A,2013-07-12,A-194,A-194,X-063,1,TRUE,1,Aurat,,,mother derived from genetic data (not seen suckling),native
