"date","clan","rank","ID","selection"
1996-04-12,"M",8,"M-087",NA
1996-04-12,"M",9,"M-005",NA
1996-04-12,"M",10,"M-093",NA
1996-04-12,"M",11,"M-001",NA
1996-04-12,"M",12,"M-084",NA
1996-04-12,"M",13,"M-085",NA
1996-04-12,"M",14,"M-009",NA
1996-04-12,"M",15,"M-091",NA
1996-04-12,"M",16,"M-013",NA
1996-04-12,"M",17,"M-080",NA
1996-04-12,"M",18,"M-042",NA
1996-04-12,"M",19,"M-014",NA
1996-04-12,"M",20,"M-089",NA
1996-04-12,"M",21,"M-090",NA
1996-04-12,"M",22,"M-043",NA
1996-04-12,"M",23,"M-002",NA
1996-04-12,"M",24,"M-081",NA
1996-04-12,"M",25,"M-017",NA
1996-04-12,"M",26,"M-012",NA
1996-04-12,"M",27,"M-092",NA
1996-04-12,"M",28,"M-016",NA
1996-04-12,"M",29,"M-004",NA
1996-04-12,"M",30,"M-086",NA
1996-04-12,"M",31,"M-051",NA
1996-04-12,"M",32,"M-011",NA
1996-04-12,"M",33,"M-015",NA
1996-04-12,"M",34,"M-044",NA
1996-04-12,"M",35,"M-047",NA
1996-04-12,"M",36,"M-049",NA
1996-04-12,"M",37,"M-048",NA
1996-04-12,"M",38,"M-054",NA
1996-04-12,"M",39,"M-045",NA
1996-04-12,"M",40,"M-008",NA
1996-04-12,"M",41,"M-010",NA
1996-04-12,"M",42,"M-040",NA
1996-04-12,"M",43,"M-046",NA
1996-04-12,"M",44,"M-050",NA
1996-04-12,"M",45,"M-052",NA
1996-04-12,"N",1,"N-006",NA
1996-04-12,"N",2,"N-042",NA
1996-04-12,"N",3,"N-002",NA
1996-04-12,"N",4,"N-081",NA
1996-04-12,"N",5,"N-008",NA
1996-04-12,"N",6,"N-046",NA
1996-04-12,"N",7,"N-007",NA
1996-04-12,"N",8,"N-005",NA
1996-04-12,"N",9,"N-047",NA
1996-04-12,"N",10,"N-045",NA
1996-04-12,"N",11,"N-003",NA
1996-04-12,"N",13,"N-001",NA
1996-04-12,"N",14,"N-043",NA
1996-04-12,"N",15,"N-040",NA
1996-04-12,"N",16,"N-041",NA
1996-04-12,"N",17,"N-044",NA
1996-04-12,"S",1,"S-005",NA
1996-04-12,"S",2,"S-042",NA
1996-04-12,"S",3,"S-001",NA
1996-04-12,"S",4,"S-044",NA
1996-04-12,"S",5,"S-002",NA
1996-04-12,"S",6,"S-043",NA
1996-04-12,"S",7,"S-003",NA
1996-04-12,"S",8,"S-004",NA
1996-04-12,"S",9,"S-041",NA
1996-04-12,"S",10,"S-040",NA
1996-04-12,"T",1,"T-008",NA
1996-04-12,"T",2,"T-001",NA
1996-04-12,"T",3,"T-002",NA
1996-04-12,"T",4,"T-013",NA
1996-04-12,"T",5,"T-004",NA
1996-04-12,"T",8,"T-005",NA
1996-04-12,"T",9,"T-009",NA
1996-04-12,"T",10,"T-040",NA
1996-04-12,"T",11,"T-080",NA
1996-04-12,"T",12,"T-003",NA
1996-04-12,"T",13,"T-006",NA
