"ID","sex","birthclan","birthdate","mothergenetic","mothersocial","father","litterdominance","DNA","litterdominancegenetic","name2","deathconfirmed","deathcause","comments","date_lastsighting"
"A-173",2,"A",2000-01-12,"A-121","A-121","E-042",1,0,NA,NA,NA,NA,NA,2004-08-12
"A-174",1,"A",2000-01-12,"A-121","A-121","E-042",2,0,NA,NA,NA,NA,NA,2009-07-12
"A-175",1,"A",2000-02-12,"A-116","A-116","N-040",1,0,NA,NA,NA,NA,NA,2004-08-12
"A-176",1,"A",2000-02-12,"A-116","A-116","N-040",2,0,NA,NA,NA,NA,NA,2000-10-12
"A-177",1,"A",2000-02-12,"A-004","A-004","A-047",1,0,NA,NA,NA,NA,NA,2001-04-12
"A-178",1,"A",2000-02-12,"A-004","A-004","A-047",2,0,NA,NA,NA,NA,NA,2016-05-12
"A-179",1,"A",2000-02-12,"A-016","A-016","A-042",1,0,NA,NA,NA,NA,NA,2012-02-12
"A-180",1,"A",2000-03-12,"A-136","A-136","L-047",1,0,NA,NA,NA,NA,NA,2006-11-12
"A-181",1,"A",2000-05-12,"A-148","A-148","N-084",1,0,NA,NA,NA,NA,NA,2011-10-12
"A-182",1,"A",2000-05-12,"A-129","A-129","N-041",1,0,NA,NA,NA,NA,NA,2014-01-12
"A-183",1,"A",2000-05-12,"A-130","A-130","N-041",1,0,NA,NA,NA,NA,NA,2001-10-12
"A-184",1,"A",2000-05-12,"A-130","A-130","N-041",2,0,NA,NA,NA,NA,NA,2008-01-12
"A-185",1,"A",2000-06-12,"A-017","A-017","A-047",1,0,NA,NA,NA,NA,NA,2001-09-12
"A-186",2,"A",2000-07-12,"A-002","A-002","A-051",1,0,NA,NA,NA,NA,NA,2008-06-12
"A-187",1,"A",2000-07-12,"A-009","A-009","N-042",1,0,NA,NA,NA,NA,NA,2001-02-12
"A-188",2,"A",2000-08-12,"A-139","A-139","T-080",1,0,NA,NA,NA,NA,NA,2001-07-12
"A-189",1,"A",2000-08-12,"A-139","A-139","T-080",2,0,NA,NA,NA,NA,NA,2006-11-12
"A-190",2,"A",2000-08-12,"A-137","A-137","T-080",1,0,NA,NA,NA,NA,NA,2012-03-12
"A-191",2,"A",2000-08-12,"A-019","A-019","N-042",1,0,NA,NA,NA,NA,NA,2002-04-12
"A-192",1,"A",2000-08-12,"A-019","A-019","N-042",2,0,NA,NA,NA,NA,NA,2008-02-12
"A-193",2,"A",2000-09-12,"A-018","A-018","N-042",1,0,NA,NA,NA,NA,NA,2001-08-12
"A-194",2,"A",2000-09-12,"A-004","A-004","A-047",1,0,NA,NA,NA,NA,NA,2001-10-12
"A-195",1,"A",2000-09-12,"A-122","A-122","E-042",1,0,NA,NA,NA,NA,NA,2016-02-12
"A-196",1,"A",2000-12-12,"A-013","A-013","A-051",1,0,NA,NA,NA,NA,NA,2001-07-12
"A-197",1,"A",2000-12-12,"A-016","A-016","A-042",1,0,NA,NA,NA,NA,NA,2002-10-12
"A-198",1,"A",2000-12-12,"A-016","A-016","A-042",2,0,NA,NA,NA,NA,NA,2001-12-12
"A-199",2,"A",2000-12-12,"A-017","A-017","A-047",1,0,NA,NA,NA,NA,NA,2002-12-12
"A-200",1,"A",2001-01-12,"A-003","A-003","A-042",1,0,NA,NA,NA,NA,NA,2001-08-12
"A-201",1,"A",2001-02-12,"A-121","A-121","E-042",1,0,NA,NA,NA,NA,NA,2003-04-12
"A-202",1,"A",2001-03-12,"A-129","A-129","N-041",1,0,NA,NA,NA,NA,NA,2002-03-12
"A-203",2,"A",2001-03-12,"A-020","A-020","A-051",1,0,NA,NA,NA,NA,NA,2002-12-12
"A-204",2,"A",2001-03-12,"A-020","A-020","A-051",2,0,NA,NA,NA,NA,NA,2004-12-12
"A-205",1,"A",2001-04-12,"A-127","A-127","N-041",1,0,NA,NA,NA,NA,NA,2011-12-12
"A-206",1,"A",2001-04-12,"A-127","A-127","N-041",2,0,NA,NA,NA,NA,NA,2014-12-12
"A-207",2,"A",2001-04-12,"A-130","A-130","N-041",1,0,NA,NA,NA,NA,NA,2013-11-12
"A-208",1,"A",2001-05-12,"A-139","A-139","T-080",1,0,NA,NA,NA,NA,NA,2011-02-12
"A-209",2,"A",2001-05-12,"A-139","A-139","T-080",2,0,NA,NA,NA,NA,NA,2012-07-12
"A-210",2,"A",2001-05-12,"A-122","A-122","E-042",1,0,NA,NA,NA,NA,NA,2005-05-12
"A-211",1,"A",2001-06-12,"A-018","A-018","N-042",1,0,NA,NA,NA,NA,NA,2002-05-12
"A-212",2,"A",2001-06-12,"A-018","A-018","N-042",2,0,NA,NA,NA,NA,NA,2016-03-12
"A-213",2,"A",2001-06-12,"A-148","A-148","N-084",1,0,NA,NA,NA,NA,NA,2005-06-12
"A-214",1,"A",2001-06-12,"A-148","A-148","N-084",2,0,NA,NA,NA,NA,NA,2019-03-12
"A-215",2,"A",2001-07-12,"A-002","A-002","A-051",1,0,NA,NA,NA,NA,NA,2005-09-12
"A-216",1,"A",2001-07-12,"A-002","A-002","A-051",2,0,NA,NA,NA,NA,NA,2011-08-12
"A-217",1,"A",2001-07-12,"A-137","A-137","T-080",1,0,NA,NA,NA,NA,NA,2002-07-12
"A-218",2,"A",2001-07-12,"A-137","A-137","T-080",2,0,NA,NA,NA,NA,NA,2003-11-12
"A-219",2,"A",2001-09-12,"A-136","A-136","T-080",1,0,NA,NA,NA,NA,NA,2004-07-12
"A-220",1,"A",2001-09-12,"A-136","A-136","T-080",2,0,NA,NA,NA,NA,NA,2011-07-12
"A-221",2,"A",2001-09-12,"A-116","A-116","N-040",1,0,NA,NA,NA,NA,NA,2005-12-12
"A-222",1,"A",2001-10-12,"A-009","A-009","N-042",1,0,NA,NA,NA,NA,NA,2003-08-12
"A-223",2,"A",2002-01-12,"A-018","A-018","N-042",1,0,NA,NA,NA,NA,NA,2006-11-12
"A-224",1,"A",2002-01-12,"A-019","A-019","N-042",1,0,NA,NA,NA,NA,NA,2012-11-12
"A-225",1,"A",2002-02-12,"A-142","A-142","N-084",1,0,NA,NA,NA,NA,NA,2014-08-12
"A-226",2,"A",2002-03-12,"A-003","A-003","A-042",1,0,NA,NA,NA,NA,NA,2002-09-12
"A-227",1,"A",2002-03-12,"A-003","A-003","A-042",2,0,NA,NA,NA,NA,NA,2002-09-12
"A-228",2,"A",2002-05-12,"A-139","A-139","T-080",1,0,NA,NA,NA,NA,NA,2016-10-12
"A-229",2,"A",2002-05-12,"A-139","A-139","T-080",2,0,NA,NA,NA,NA,NA,2003-06-12
"A-230",1,"A",2002-07-12,"A-148","A-148","N-084",1,0,NA,NA,NA,NA,NA,2003-04-12
"A-231",1,"A",2002-07-12,"A-148","A-148","N-084",2,0,NA,NA,NA,NA,NA,2011-07-12
"A-232",1,"A",2002-07-12,"A-004","A-004","A-042",1,0,NA,NA,NA,NA,NA,2020-01-12
"A-233",1,"A",2002-07-12,"A-004","A-004","A-042",2,0,NA,NA,NA,NA,NA,2003-09-12
"A-234",2,"A",2002-08-12,"A-013","A-013","A-051",1,0,NA,NA,NA,NA,NA,2005-06-12
"A-235",2,"A",2002-09-12,"A-116","A-116","N-040",1,0,NA,NA,NA,NA,NA,2003-10-12
"A-236",2,"A",2002-10-12,"A-159","A-159","M-111",1,0,NA,NA,NA,NA,NA,2004-07-12
"A-237",2,"A",2002-11-12,"A-121","A-121","E-042",1,0,NA,NA,NA,NA,NA,2016-05-12
"A-238",2,"A",2002-11-12,"A-121","A-121","E-042",2,0,NA,NA,NA,NA,NA,2014-12-12
"A-239",1,"A",2002-12-12,"A-170","A-170","L-043",1,0,NA,NA,NA,NA,NA,2015-07-12
"A-240",1,"A",2003-01-12,"A-172","A-172","M-121",1,0,NA,NA,NA,NA,NA,2016-02-12
"A-241",2,"A",2003-01-12,"A-018","A-018","N-042",1,0,NA,NA,NA,NA,NA,2018-10-12
"A-242",1,"A",2003-01-12,"A-018","A-018","N-042",2,0,NA,NA,NA,NA,NA,2016-02-12
"A-243",1,"A",2003-01-12,"A-142","A-142","N-084",1,0,NA,NA,NA,NA,NA,2004-07-12
"A-244",2,"A",2003-01-12,"A-142","A-142","N-084",2,0,NA,NA,NA,NA,NA,2007-10-12
"A-245",1,"A",2003-01-12,"A-137","A-137","T-080",1,0,NA,NA,NA,NA,NA,2004-06-12
"A-246",1,"A",2003-02-12,"A-127","A-127","L-049",1,0,NA,NA,NA,NA,NA,2004-10-12
"A-247",2,"A",2003-03-12,"A-002","A-002","A-051",1,0,NA,NA,NA,NA,NA,2003-08-12
"A-248",1,"A",2003-03-12,"A-002","A-002","A-051",2,0,NA,NA,NA,NA,NA,2013-09-12
"A-249",1,"A",2003-05-12,"A-019","A-019","N-042",1,0,NA,NA,NA,NA,NA,2003-12-12
"A-250",1,"A",2003-05-12,"A-129","A-129","L-049",1,0,NA,NA,NA,NA,NA,2004-08-12
"A-251",1,"A",2003-07-12,"A-215","A-215","M-093",1,0,NA,NA,NA,NA,NA,2004-02-12
"A-252",1,"A",2003-07-12,"A-159","A-159","M-111",1,0,NA,NA,NA,NA,NA,2007-05-12
"A-253",1,"A",2003-07-12,"A-122","A-122","E-042",1,0,NA,NA,NA,NA,NA,2006-09-12
"A-254",2,"A",2003-07-12,"A-122","A-122","E-042",2,0,NA,NA,NA,NA,NA,2003-12-12
"A-255",2,"A",2003-10-12,"A-186","A-186","S-062",1,0,NA,NA,NA,NA,NA,2008-12-12
"A-256",1,"A",2003-10-12,"A-207","A-207","L-121",1,0,NA,NA,NA,NA,NA,2017-03-12
"A-257",2,"A",2003-10-12,"A-003","A-003","A-051",1,0,NA,NA,NA,NA,NA,2004-09-12
"A-258",1,"A",2003-10-12,"A-137","A-137","T-080",1,0,NA,NA,NA,NA,NA,2015-02-12
"A-259",2,"A",2003-10-12,"A-137","A-137","T-080",2,0,NA,NA,NA,NA,NA,2017-04-12
"A-260",2,"A",2003-11-12,"A-130","A-130","L-049",1,0,NA,NA,NA,NA,NA,2016-04-12
"A-261",2,"A",2003-11-12,"A-130","A-130","L-049",2,0,NA,NA,NA,NA,NA,2004-04-12
"A-262",2,"A",2003-12-12,"A-142","A-142","N-084",1,0,NA,NA,NA,NA,NA,2004-09-12
"A-263",2,"A",2003-12-12,"A-142","A-142","N-084",2,0,NA,NA,NA,NA,NA,2007-09-12
"A-264",1,"A",2004-01-12,"A-173","A-173","M-121",1,0,NA,NA,NA,NA,NA,2005-02-12
"A-265",1,"A",2004-01-12,"A-173","A-173","M-121",2,0,NA,NA,NA,NA,NA,2005-03-12
"A-266",2,"A",2004-01-12,"A-136","A-136","T-080",1,0,NA,NA,NA,NA,NA,2005-07-12
"A-267",2,"A",2004-03-12,"A-129","A-129","L-049",1,0,NA,NA,NA,NA,NA,2005-09-12
"A-268",1,"A",2004-04-12,"A-139","A-139","T-080",1,0,NA,NA,NA,NA,NA,2005-09-12
"A-269",1,"A",2004-05-12,"A-116","A-116","N-040",1,0,NA,NA,NA,NA,NA,2011-12-12
"A-270",2,"A",2004-06-12,"A-186","A-186","S-062",1,0,NA,NA,NA,NA,NA,2012-03-12
"A-271",1,"A",2004-06-12,"A-186","A-186","S-062",2,0,NA,NA,NA,NA,NA,2004-11-12
"A-272",2,"A",2004-06-12,"A-004","A-004","N-042",1,0,NA,NA,NA,NA,NA,2005-06-12
"A-273",2,"A",2004-07-12,"A-155","A-155","M-121",1,0,NA,NA,NA,NA,NA,2007-07-12
"A-274",1,"A",2004-07-12,"A-013","A-013","N-042",1,0,NA,NA,NA,NA,NA,2013-04-12
"A-275",2,"A",2004-08-12,"A-002","A-002","N-042",1,0,NA,NA,NA,NA,NA,2007-07-12
"A-276",1,"A",2004-08-12,"A-002","A-002","N-042",2,0,NA,NA,NA,NA,NA,2007-12-12
"A-277",2,"A",2004-09-12,"A-228","A-228","L-136",1,0,NA,NA,NA,NA,NA,2007-02-12
"A-278",2,"A",2004-09-12,"A-170","A-170","M-121",1,0,NA,NA,NA,NA,NA,2008-03-12
"A-279",2,"A",2004-10-12,"A-159","A-159","M-121",1,0,NA,NA,NA,NA,NA,2019-02-12
"A-280",2,"A",2004-10-12,"A-215","A-215","M-093",1,0,NA,NA,NA,NA,NA,2013-02-12
"A-281",1,"A",2005-01-12,"A-212","A-212","M-093",1,0,NA,NA,NA,NA,NA,2005-07-12
"A-282",2,"A",2005-01-12,"A-212","A-212","M-093",2,0,NA,NA,NA,NA,NA,2013-01-12
"A-283",1,"A",2005-01-12,"A-127","A-127","L-049",1,0,NA,NA,NA,NA,NA,2014-08-12
"A-284",1,"A",2005-02-12,"A-221","A-221","M-093",1,0,NA,NA,NA,NA,NA,2017-03-12
"A-285",1,"A",2005-02-12,"A-142","A-142","N-084",1,0,NA,NA,NA,NA,NA,2005-11-12
"A-286",2,"A",2005-05-12,"A-223","A-223","S-068",1,0,NA,NA,NA,NA,NA,2012-08-12
"A-287",1,"A",2005-05-12,"A-223","A-223","S-068",2,0,NA,NA,NA,NA,NA,2009-05-12
"A-288",2,"A",2005-05-12,"A-190","A-190","S-062",1,0,NA,NA,NA,NA,NA,2009-11-12
"A-289",1,"A",2005-05-12,"A-190","A-190","S-062",2,0,NA,NA,NA,NA,NA,2009-07-12
"A-290",2,"A",2005-05-12,"A-172","A-172","M-121",1,0,NA,NA,NA,NA,NA,2008-11-12
"A-291",1,"A",2005-05-12,"A-172","A-172","M-121",2,0,NA,NA,NA,NA,NA,2017-05-12
"A-292",1,"A",2005-06-12,"A-129","A-129","L-049",1,0,NA,NA,NA,NA,NA,2020-07-12
"A-293",1,"A",2005-06-12,"A-129","A-129","L-049",2,0,NA,NA,NA,NA,NA,2020-01-12
"A-294",1,"A",2005-06-12,"A-137","A-137","N-084",1,0,NA,NA,NA,NA,NA,2006-05-12
"A-295",1,"A",2005-07-12,"A-244","A-244","L-136",1,0,NA,NA,NA,NA,NA,2011-06-12
"A-296",1,"A",2005-07-12,"A-013","A-013","N-042",1,0,NA,NA,NA,NA,NA,2018-08-12
"A-297",2,"A",2005-08-12,"A-186","A-186","S-062",1,0,NA,NA,NA,NA,NA,2020-06-12
"A-298",2,"A",2005-08-12,"A-228","A-228","L-136",1,0,NA,NA,NA,NA,NA,2006-05-12
"A-299",1,"A",2005-08-12,"A-155","A-155","M-121",1,0,NA,NA,NA,NA,NA,2017-09-12
"A-300",2,"A",2005-09-12,"A-212","A-212","M-093",1,0,NA,NA,NA,NA,NA,2006-08-12
"A-301",2,"A",2005-09-12,"A-136","A-136","N-084",1,0,NA,NA,NA,NA,NA,2011-03-12
"A-302",1,"A",2005-09-12,"A-136","A-136","N-084",2,0,NA,NA,NA,NA,NA,2010-06-12
"A-303",2,"A",2005-09-12,"A-207","A-207","L-121",1,0,NA,NA,NA,NA,NA,2006-04-12
"A-304",1,"A",2005-10-12,"A-018","A-018","N-042",1,0,NA,NA,NA,NA,NA,2020-05-12
"A-305",1,"A",2005-12-12,"A-223","A-223","S-068",1,0,NA,NA,NA,NA,NA,2017-05-12
"A-306",1,"A",2005-12-12,"A-130","A-130","L-049",1,0,NA,NA,NA,NA,NA,2007-01-12
"A-307",1,"A",2006-02-12,"A-172","A-172","S-062",1,0,NA,NA,NA,NA,NA,2007-03-12
"A-308",1,"A",2006-03-12,"A-127","A-127","L-049",1,0,NA,NA,NA,NA,NA,2014-01-12
"A-309",1,"A",2006-03-12,"A-127","A-127","L-049",2,0,NA,NA,NA,NA,NA,2010-06-12
"A-310",1,"A",2006-03-12,"A-139","A-139","N-084",1,0,NA,NA,NA,NA,NA,2013-01-12
"A-311",2,"A",2006-04-12,"A-159","A-159","S-062",1,0,NA,NA,NA,NA,NA,2008-03-12
"A-312",1,"A",2006-04-12,"A-159","A-159","S-062",2,0,NA,NA,NA,NA,NA,2015-12-12
"A-313",1,"A",2006-04-12,"A-137","A-137","N-084",1,0,NA,NA,NA,NA,NA,2011-04-12
"A-314",1,"A",2006-04-12,"A-137","A-137","N-084",2,0,NA,NA,NA,NA,NA,2012-08-12
"A-315",1,"A",2006-05-12,"A-209","A-209","L-121",1,0,NA,NA,NA,NA,NA,2008-03-12
"A-316",2,"A",2006-06-12,"A-228","A-228","L-136",1,0,NA,NA,NA,NA,NA,2007-08-12
"A-317",1,"A",2006-08-12,"A-237","A-237","L-136",1,0,NA,NA,NA,NA,NA,2021-05-12
"A-318",1,"A",2006-08-12,"A-212","A-212","S-068",1,0,NA,NA,NA,NA,NA,2015-10-12
"A-319",2,"A",2006-08-12,"A-212","A-212","S-068",2,0,NA,NA,NA,NA,NA,2018-02-12
"A-320",2,"A",2006-08-12,"A-244","A-244","L-136",1,0,NA,NA,NA,NA,NA,2007-01-12
"A-321",1,"A",2006-08-12,"A-190","A-190","S-062",1,0,NA,NA,NA,NA,NA,2016-02-12
